BirdID;BroodRef;SexEstimate;RearingBrood;Cohort;DeathStatus;LastLiveRecord;LastStage;Dead;Lifespan;SocialMotherID;SocialFatherID;GeneticMotherID;GeneticFatherID;OffspringofEP
1;154;1;155;2001;0;2001;2;1;0;4497;4470;4497;4470;0
2;154;0;155;2001;0;2001;3;1;0;4497;4470;4497;4470;0
3;154;0;155;2001;0;2001;3;1;0;4497;4470;4497;4470;0
4;154;0;155;2001;2;2002;3;1;1;4497;4470;4497;4470;0
5;154;NA;154;2001;2;NA;0;1;NA;4497;4470;4497;4470;0
6;155;NA;154;2001;2;2001;2;1;0;4443;4435;4443;4435;0
7;155;NA;154;2001;2;2001;2;1;0;4443;4435;4443;4435;0
11;156;1;156;2001;0;2005;3;1;4;4447;4403;4447;4403;0
13;156;1;156;2001;1;2002;3;1;1;4447;4403;4447;4403;0
15;157;0;157;2001;0;2002;3;1;1;4496;4467;4496;4467;0
16;157;1;157;2001;0;2002;3;1;1;4496;4467;4496;4467;0
20;158;1;159;2001;0;2002;3;1;1;4495;4429;4495;4429;0
21;158;1;159;2001;0;2001;3;1;0;4495;4429;4495;4429;0
22;158;1;159;2001;0;2005;3;1;4;4495;4429;4495;4429;0
23;158;1;159;2001;0;2007;3;1;6;4495;4429;4495;4435;1
24;159;1;158;2001;0;2004;3;1;3;4494;4418;4494;4418;0
25;159;0;158;2001;0;2001;3;1;0;4494;4418;4494;4463;1
27;159;0;158;2001;3;2001;3;1;0;4494;4418;4494;4412;1
28;160;0;161;2001;0;2003;3;1;2;4489;4275;4489;4275;0
29;160;0;161;2001;0;2002;3;1;1;4489;4275;4489;4275;0
31;160;1;161;2001;0;2001;3;1;0;4489;4275;4489;4275;0
32;161;0;160;2001;1;2004;3;1;3;4290;4412;4290;4412;0
33;161;1;160;2001;0;2001;3;1;0;4290;4412;4290;4412;0
34;161;0;160;2001;0;2002;3;1;1;4290;4412;4290;4412;0
35;161;1;160;2001;0;2001;3;1;0;4290;4412;4290;4412;0
37;162;0;162;2001;0;2001;3;1;0;4500;4499;4500;4499;0
38;162;0;162;2001;0;2003;3;1;2;4500;4499;4500;4499;0
39;162;1;162;2001;0;2001;3;1;0;4500;4499;4500;4499;0
40;162;1;162;2001;0;2001;3;1;0;4500;4499;4500;4499;0
41;163;0;164;2001;0;2005;3;1;4;4437;4415;4437;4415;0
42;163;0;164;2001;0;2001;3;1;0;4437;4415;4437;4415;0
44;163;1;164;2001;0;2004;3;1;3;4437;4415;4437;4415;0
45;164;0;163;2001;0;2006;3;1;5;4438;4432;4438;4432;0
46;164;1;163;2001;0;2007;3;1;6;4438;4432;4438;4403;1
47;164;0;163;2001;0;2001;3;1;0;4438;4432;4438;4403;1
48;164;0;163;2001;0;2002;3;1;1;4438;4432;4438;4403;1
49;165;0;166;2001;0;2001;3;1;0;4436;4230;4436;4230;0
