SocialMotherID;Offspring;EP_Offspring;Recruits;Cohort;Dead;Lifespan;MatingStrategy
28;10;0;2;2001;1;2;0
32;26;6;9;2001;1;3;1
34;7;1;3;2001;1;1;1
38;11;0;4;2001;1;2;0
41;24;6;2;2001;1;4;1
45;53;2;4;2001;1;5;1
48;8;0;0;2001;1;1;0
51;8;2;3;2001;1;1;1
60;15;2;8;2001;1;3;1
76;26;3;2;2001;1;4;1
91;10;0;1;2001;1;3;0
108;3;0;1;2001;1;1;0
122;30;10;3;2001;1;4;1
123;17;2;6;2001;1;3;1
170;8;2;2;2001;1;1;1
206;63;11;8;2001;1;6;1
253;8;0;2;2002;1;2;0
256;32;7;3;2002;1;4;1
284;19;0;2;2002;1;2;0
298;8;0;1;2002;1;2;0
309;38;10;5;2002;1;3;1
338;48;11;1;NA;NA;NA;1
342;17;1;3;2002;1;3;1
346;22;4;1;2002;1;3;1
353;33;3;12;2002;1;5;1
371;20;6;2;2002;1;2;1
416;36;11;4;2002;1;3;1
419;25;3;7;2002;1;3;1
427;50;6;4;2002;1;4;1
428;23;1;2;2002;1;3;1
431;25;9;3;2002;1;3;1
438;18;2;0;2002;1;3;1
442;38;3;4;2002;1;3;1
444;1;0;1;2002;1;2;0
469;5;0;2;2002;1;2;0
471;31;2;1;2002;1;3;1
512;18;1;0;NA;NA;NA;1
521;21;6;0;2003;1;2;1
524;17;1;3;2003;1;3;1
533;22;3;2;2003;1;2;1
540;23;1;5;2003;1;2;1
542;18;1;2;2003;1;4;1
551;10;0;1;2003;1;1;0
555;4;0;0;2003;1;1;0
556;27;6;1;2003;1;2;1
560;17;0;0;2003;1;2;0
562;10;5;1;2003;1;1;1
569;8;2;0;2003;1;2;1
571;24;5;1;2003;1;3;1
586;55;7;5;2002;1;5;1
592;30;3;2;2002;1;5;1
595;9;1;2;2002;1;2;1
601;6;1;2;2002;1;3;1
604;37;3;3;2002;1;4;1
605;28;6;2;2002;1;3;1
615;9;2;0;2002;1;2;1
622;11;4;9;2002;1;5;1
646;40;6;6;2002;1;3;1
649;33;2;7;2002;1;3;1
670;4;0;1;2002;1;2;0
704;22;0;3;NA;NA;NA;0
723;12;1;0;NA;NA;NA;1
750;8;0;1;2003;1;4;0
753;8;1;0;2003;1;2;1
784;28;2;5;2003;1;4;1
819;21;1;1;2003;1;2;1
832;13;1;1;2003;1;2;1
843;18;0;2;2003;1;4;0
857;28;8;5;2003;1;3;1
860;35;14;3;2003;1;4;1
885;4;3;2;2003;1;3;1
892;49;6;2;2003;1;3;1
903;25;2;2;2003;1;2;1
912;5;0;0;2003;1;3;0
913;17;0;3;2003;1;2;0
917;11;8;0;2003;1;2;1
927;41;9;12;2003;1;6;1
928;9;3;0;2003;1;1;1
929;33;3;1;2003;1;4;1
955;11;1;3;2003;1;2;1
960;18;0;1;2003;1;2;0
963;16;1;0;2003;1;3;1
980;17;4;3;2003;1;3;1
985;25;4;4;2003;1;2;1
988;43;16;3;2003;1;3;1
1047;7;0;0;2003;1;3;0
1048;10;2;1;2003;1;2;1
1054;12;1;2;2003;1;3;1
1062;2;2;0;2003;1;2;1
1063;8;1;0;2003;1;2;1
1069;25;2;0;2003;1;2;1
1074;10;5;0;2003;1;1;1
1083;5;1;0;2003;1;2;1
1100;36;11;2;NA;NA;NA;1
1228;9;3;1;2004;1;1;1
1318;9;7;0;2004;1;1;1
